DatasetID,PathID,PathString,path_fidelity,avg_time_us
0,121,n1->n11->n21->n31->n41->n42->n52->n62->n72->n82->n83->n84->n74->n64->n65->n66->n67->n57->n47->n37->n27->n28->n18->n19->n20->n10,0.610617,1618.254310
0,117,n1->n2->n12->n22->n32->n33->n43->n53->n63->n62->n72->n82->n83->n93->n94->n95->n96->n97->n98->n88->n78->n68->n58->n48->n38->n28->n18->n19->n20->n10,0.608976,1526.846680
0,119,n1->n11->n12->n13->n14->n15->n16->n26->n36->n46->n56->n55->n54->n64->n63->n73->n74->n75->n85->n86->n87->n77->n67->n57->n47->n37->n27->n17->n18->n19->n20->n10,0.558132,1734.345412
0,120,n1->n2->n3->n4->n14->n24->n23->n22->n32->n42->n52->n62->n72->n73->n63->n53->n43->n44->n34->n35->n36->n37->n38->n28->n29->n30->n20->n10,0.602561,1546.582761
0,114,n1->n2->n3->n13->n23->n33->n34->n35->n45->n46->n47->n57->n67->n68->n69->n70->n60->n59->n58->n48->n38->n37->n36->n26->n16->n17->n18->n19->n20->n10,0.572351,1673.256946
0,127,n1->n11->n21->n22->n32->n42->n52->n62->n63->n73->n83->n84->n85->n95->n96->n86->n87->n88->n78->n68->n67->n57->n47->n37->n27->n17->n7->n8->n9->n10,0.591323,1921.680274
0,112,n1->n2->n12->n22->n32->n42->n43->n44->n54->n64->n65->n75->n76->n77->n87->n97->n98->n88->n78->n79->n69->n70->n60->n59->n49->n39->n29->n19->n9->n10,0.592444,2041.930762
0,125,n1->n2->n3->n13->n23->n22->n32->n42->n52->n51->n61->n71->n81->n82->n92->n93->n94->n95->n96->n86->n87->n77->n67->n66->n56->n55->n54->n44->n34->n24->n14->n4->n5->n6->n7->n8->n9->n10,0.554664,2149.637932
0,115,n1->n11->n12->n13->n23->n33->n43->n42->n52->n62->n61->n71->n81->n82->n83->n84->n74->n64->n54->n55->n45->n46->n47->n37->n27->n17->n7->n8->n9->n10,0.596494,1849.401384
0,126,n1->n2->n3->n4->n14->n24->n34->n44->n45->n46->n56->n66->n76->n77->n78->n68->n58->n48->n49->n39->n40->n30->n20->n10,0.608763,1428.000850
